x,xerr,y,yerr,
0.348468512,0.018304497,0.00821451098,4.72633037E-05,0.00761483144
0.384986013,0.0182130039,0.00846778508,4.80901763E-05,0.00752997072
0.421317518,0.0181185007,0.00870818645,4.92981635E-05,0.00745366979
0.457459509,0.0180234909,0.0088763088,5.05171483E-05,0.00738458429
0.493411005,0.0179280043,0.00861910824,5.11177168E-05,0.00732164551
0.52917254,0.0178335011,0.00827336404,5.19983732E-05,0.00726472493
0.564746976,0.0177409947,0.00803184416,5.29262361E-05,0.00721006608
0.600139976,0.017652005,0.0081040673,5.41455629E-05,0.00716094393
0.635359049,0.0175670087,0.00789622124,5.43124152E-05,0.00711536547
0.670412064,0.017486006,0.00739559485,5.3559048E-05,0.0070727095
0.70530802,0.0174099803,0.00656154053,5.15668435E-05,0.00703120185
0.740058005,0.0173400044,0.00593658211,5.02577568E-05,0.00699404348
0.774673462,0.0172754824,0.0056298147,5.02428193E-05,0.0069574113
0.809166431,0.0172174871,0.00554302288,5.12334736E-05,0.00692382641
0.843549013,0.017165035,0.00560015347,5.29306999E-05,0.00689079659
0.877833009,0.0171189904,0.00562150124,5.4533004E-05,0.00686066132
0.912031531,0.0170795023,0.00558698643,5.58659667E-05,0.00683017541
0.946156502,0.0170454979,0.00578290364,5.83911387E-05,0.00680246018
0.982650995,0.0194489956,0.00592411123,5.68557734E-05,0.00677342014
1.0215199,0.0194199681,0.00580085581,5.79448933E-05,0.00674382038
1.06033993,0.0194000602,0.00592139689,6.02377113E-05,0.00671549607
1.09913003,0.019389987,0.00593263097,6.19723505E-05,0.00668833125
1.137905,0.0193849802,0.00601048255,6.40520084E-05,0.00666222582
1.17667508,0.0193850398,0.0059580449,6.54908799E-05,0.00663709501
1.21545506,0.0193949342,0.00603682222,6.76427662E-05,0.00661285827
1.25426006,0.0194100738,0.00611816859,6.98629374E-05,0.00658944668
1.29309511,0.0194249749,0.0059668133,7.08094813E-05,0.00656680623
1.33196998,0.0194500089,0.00622920645,7.41361728E-05,0.00654487964
1.37089503,0.0194749832,0.00616784347,7.55407382E-05,0.00652362546
1.40986502,0.0194950104,0.00616109883,7.73702777E-05,0.00650301203
1.44888997,0.0195299983,0.00623738999,7.96630702E-05,0.00648298953
1.48798001,0.0195599794,0.00635041762,8.24232193E-05,0.00646353327
1.52713001,0.0195900202,0.00624162192,8.41028668E-05,0.00644465489
1.56633997,0.0196199417,0.00647765025,8.85733825E-05,0.00642637303
1.60560989,0.0196500421,0.00646499777,9.09653172E-05,0.00640326412
1.64494503,0.01968503,0.00665589469,9.44151252E-05,0.00639130082
1.68434,0.0197100043,0.00660587754,9.60282414E-05,0.00637749862
1.72379005,0.0197399855,0.00655651884,9.73555943E-05,0.00635850755
1.76329505,0.0197650194,0.00662576174,9.96936797E-05,0.00634094374
1.80285001,0.0197899938,0.00675851619,0.000103684171,0.00632505771
1.84493494,0.0222949386,0.00661192602,0.000101356774,0.00630865153
1.88954997,0.0223200321,0.00638889428,0.000104884028,0.00628959993
1.93421507,0.0223450065,0.00657357275,0.000109797802,0.00627317885
1.97892499,0.0223650336,0.00652748952,0.000112019596,0.00625927374
2.02367997,0.0223898888,0.00670090644,0.000116132287,0.00624348316
2.06847477,0.0224050283,0.00625988748,0.000114618408,0.00622806419
2.11329508,0.0224150419,0.00673166709,0.00012203541,0.0062130047
2.15814495,0.0224350691,0.00658654235,0.00012518627,0.00619955407
2.22548008,0.0448998213,0.00649800617,9.61363548E-05,0.00617789384
2.31531,0.0449301004,0.00658421265,0.000111476729,0.00614922727
2.405195,0.0449550152,0.00661312044,0.000119458164,0.00612142356
2.49512005,0.0449700356,0.00674504321,0.000122995974,0.00609770417
2.58507013,0.0449799299,0.00665784255,0.000124710699,0.00607336499
2.67504001,0.0449900627,0.00680532167,0.00012994252,0.00604994735
2.78751993,0.0674899817,0.00665748678,0.000110304441,0.00602206774
2.93001008,0.0750000477,0.00666365772,0.000108894063,0.0059883236
3.08000517,0.0749949217,0.00672426727,0.000113308575,0.0059546479
3.23000002,0.0750000477,0.00661714748,0.000118589553,0.00592275336
3.38000011,0.0749999285,0.00687279832,0.000125636492,0.00589246908
3.52999997,0.0750000477,0.00661912002,0.000128419691,0.00586364744
3.68000007,0.0750000477,0.00688368734,0.000135456416,0.00583616039
3.85750008,0.102499962,0.00682203146,0.000120539429,0.00580574386
4.06999969,0.109999895,0.00669455389,0.000121217345,0.00577001367
4.28999996,0.110000134,0.0066164718,0.000126775412,0.00573617453
4.51000023,0.109999895,0.00680644624,0.000135095353,0.00570414728
4.75749969,0.137500048,0.00658316631,0.000125522813,0.00566947181
5.03999996,0.144999981,0.00714722322,0.000135139533,0.00563294115
5.36499977,0.180000067,0.00679953257,0.000127449355,0.00559353037
5.72500038,0.180000067,0.00713071506,0.000140710807,0.00555262482
6.11999989,0.214999914,0.00738814007,0.000142579651,0.00551111903
6.59749985,0.262500048,0.00783855282,0.000148285384,0.00546479179
7.27250004,0.412499905,0.00670117233,0.000131509543,0.00540592149
8.46500015,0.779999971,0.00683016563,0.000136023882,0.00531682558
9.59499931,0.349999905,0.0064859488,0.000276234117,0.00523861265
