,f,per
0,3.15955766192733e-05,371.08967838253324
1,6.31911532385466e-05,72.258466101816
2,9.47867298578199e-05,6.755074750350379
3,0.0001263823064770932,16.265631175988712
4,0.00015797788309636652,0.7371430523277116
5,0.0001895734597156398,6.373934037131766
6,0.00022116903633491312,6.142898387482226
7,0.0002527646129541864,4.01167628455288
8,0.00028436018957345974,14.64235002919091
9,0.00031595576619273305,19.614700695808615
10,0.00034755134281200636,1.6696694201517754
11,0.0003791469194312796,9.227022421467487
12,0.0004107424960505529,0.03539204730749567
13,0.00044233807266982623,2.6772392312026003
14,0.00047393364928909954,5.8265196638903864
15,0.0005055292259083729,3.2141134602683
16,0.0005371248025276462,0.33722148428925874
17,0.0005687203791469195,2.4790951066042943
18,0.0006003159557661928,0.3302253836486461
19,0.0006319115323854661,0.647033104525669
20,0.0006635071090047394,0.40119535950134716
21,0.0006951026856240127,0.2621625579470641
22,0.000726698262243286,1.356946158430891
23,0.0007582938388625592,0.8137888524486041
24,0.0007898894154818325,0.0693520206632129
25,0.0008214849921011058,0.8192139861124738
26,0.0008530805687203792,0.21620819999637
27,0.0008846761453396525,0.1625745705229456
28,0.0009162717219589258,0.696148854387182
29,0.0009478672985781991,0.6931688508423365
30,0.0009794628751974724,1.2972810592288264
31,0.0010110584518167457,0.10920374509258726
32,0.001042654028436019,0.24334184175852103
33,0.0010742496050552923,0.4679306589586194
34,0.0011058451816745656,2.9879156364602286
35,0.001137440758293839,1.4831940429712407
36,0.0011690363349131123,0.14163548704746282
37,0.0012006319115323856,0.09785806076949483
38,0.0012322274881516589,1.8733666897497383
39,0.0012638230647709322,0.5289557054754943
40,0.0012954186413902055,0.7827678932364516
41,0.0013270142180094788,0.24550055576780905
42,0.0013586097946287521,0.252499741234517
43,0.0013902053712480254,1.1355280732287871
44,0.0014218009478672987,0.4143986123112754
45,0.001453396524486572,0.17086464838043228
46,0.0014849921011058453,0.9489928086243115
47,0.0015165876777251184,0.4424401272785179
48,0.0015481832543443918,0.30011449768556286
49,0.001579778830963665,0.9358804235140585
50,0.0016113744075829384,0.9467623582013427
51,0.0016429699842022117,1.1521086172506148
52,0.001674565560821485,0.46863589403489964
53,0.0017061611374407583,0.16296222681887218
54,0.0017377567140600316,0.10894433891743735
55,0.001769352290679305,0.20196719512769074
56,0.0018009478672985782,0.02714618129443145
57,0.0018325434439178515,0.9348381781310096
58,0.0018641390205371249,0.6521344585965886
59,0.0018957345971563982,0.6331195227832015
60,0.0019273301737756715,0.5639491495160925
61,0.0019589257503949448,0.4797225091313022
62,0.001990521327014218,0.43577757102547504
63,0.0020221169036334914,0.20100333036428109
64,0.0020537124802527647,0.1821330521740066
65,0.002085308056872038,0.24624019331585834
66,0.0021169036334913113,0.14647433126112255
67,0.0021484992101105846,0.9010868337904996
68,0.002180094786729858,0.6166338841808154
69,0.0022116903633491313,0.7916468379533449
70,0.0022432859399684046,0.040761914412092266
71,0.002274881516587678,0.9867593517852425
72,0.002306477093206951,0.0914369143947878
73,0.0023380726698262245,0.14436367379275847
74,0.002369668246445498,0.30434061349555436
75,0.002401263823064771,0.407527688864495
76,0.0024328593996840444,0.29776460305057784
77,0.0024644549763033177,0.4543235880208311
78,0.002496050552922591,0.4238975117165576
79,0.0025276461295418644,0.24009314920260078
80,0.0025592417061611377,0.5214507201273378
81,0.002590837282780411,0.11381507870381394
82,0.0026224328593996843,0.023072894383454966
83,0.0026540284360189576,0.2283718512389068
84,0.002685624012638231,0.5910335040826019
85,0.0027172195892575042,0.9485921218855223
86,0.0027488151658767775,0.5094043463037792
87,0.002780410742496051,0.12155547551306725
88,0.002812006319115324,0.15475248051688648
89,0.0028436018957345975,0.04903973673374604
90,0.0028751974723538708,0.3438523900017407
91,0.002906793048973144,0.27912083936169063
92,0.0029383886255924174,0.237311619596987
93,0.0029699842022116907,0.2640016538759455
94,0.003001579778830964,0.6976507289677684
95,0.003033175355450237,0.07898323031974934
96,0.00306477093206951,0.32031461108734505
97,0.0030963665086887835,0.21425339897093995
98,0.003127962085308057,0.4317365471712116
99,0.00315955766192733,0.04387162257186286
100,0.0031911532385466034,2.4859337020591745
101,0.0032227488151658767,0.43046898830707975
102,0.00325434439178515,0.6730465775113555
103,0.0032859399684044234,0.31650642447124283
104,0.0033175355450236967,0.2858479560643683
105,0.00334913112164297,0.37642979622156103
106,0.0033807266982622433,1.1040964757180274
107,0.0034123222748815166,0.05136792432363679
108,0.00344391785150079,0.34646622020743795
109,0.0034755134281200632,0.05714846635195185
110,0.0035071090047393365,0.011833278926000102
111,0.00353870458135861,0.07010583559010211
112,0.003570300157977883,0.02180789529818392
113,0.0036018957345971565,0.7609577511342246
114,0.0036334913112164298,0.008760808545676933
115,0.003665086887835703,0.055372196250904386
116,0.0036966824644549764,0.059965255080329606
117,0.0037282780410742497,0.038901308693183236
118,0.003759873617693523,0.2359593163117085
119,0.0037914691943127963,0.5591801103651306
120,0.0038230647709320696,0.3144799269482434
121,0.003854660347551343,0.1139276170766114
122,0.0038862559241706163,0.016965371662014405
123,0.0039178515007898896,0.9977802723503957
124,0.003949447077409163,1.2977228492726556
125,0.003981042654028436,0.05263531716446498
126,0.00401263823064771,0.6859180076837025
127,0.004044233807266983,0.5826438947287944
128,0.004075829383886256,0.09750097663034407
129,0.004107424960505529,0.2747626007852068
130,0.004139020537124802,0.38814303252453347
131,0.004170616113744076,0.6233902685793712
132,0.004202211690363349,0.7238849205535537
133,0.004233807266982623,0.8168517773949829
134,0.0042654028436018955,0.009376553970059156
