TIME,RATE
252712663.1492,2.803788
252712713.1492,2.898955
252712763.1492,2.418284
252712813.1492,2.834543
252712863.1492,3.061682
252712913.1492,2.931314
252712963.1492,1.691105
252713013.1492,2.357558
252713063.1492,2.995267
252713113.1492,2.419297
252713163.1492,2.517869
252713213.1492,2.417448
252713263.1492,2.64477
252713313.1492,2.643348
252713363.1492,2.359195
252713413.1492,2.837327
252713463.1492,2.166259
252713513.1492,2.449849
252713563.1492,2.546921
252713613.1492,2.166601
252713663.1492,2.831992
252713713.1492,2.285817
252713763.1492,2.934259
252713813.1492,2.835527
252713863.1492,2.546276
252713913.1492,2.633259
252713963.1492,2.605971
252714013.1492,1.943893
252714063.1492,2.354174
252714113.1492,2.070471
252714163.1492,2.386873
252714213.1492,2.228158
252714263.1492,2.42254
252714313.1492,3.054668
252714363.1492,2.422655
252714413.1492,2.736424
252714463.1492,2.422451
252714513.1492,2.709483
252714563.1492,1.841798
252714613.1492,2.292558
252714663.1492,2.613825
252714713.1492,2.449395
252714763.1492,2.487136
252714813.1492,2.482679
252714863.1492,2.449056
252714913.1492,2.387252
252714963.1492,2.389484
252715013.1492,2.607602
252715063.1492,2.579957
252715113.1492,2.580489
252715163.1492,2.033294
252715213.1492,2.517137
252715263.1492,2.514282
252715313.1492,2.580519
252715363.1492,1.998999
252715413.1492,2.420602
252715463.1492,2.547179
252715513.1492,2.32692
252715563.1492,2.135448
252715613.1492,2.475481
252715663.1492,2.444366
252715713.1492,2.422149
252715763.1492,1.908445
252715813.1492,2.167069
252715863.1492,2.06482
252715913.1492,2.32624
252715963.1492,2.26103
252716013.1492,2.454559
252716063.1492,2.259694
252716113.1492,2.35521
252716163.1492,1.879654
252716213.1492,2.452322
252716263.1492,2.284997
252716313.1492,2.48522
252716363.1492,2.484194
252716413.1492,2.391198
252716463.1492,2.033505
252716513.1492,2.642077
252716563.1492,2.606354
252716613.1492,2.354157
252716663.1492,2.482007
252716713.1492,2.132687
252716763.1492,2.45387
252716813.1492,2.832181
252716863.1492,2.645086
252716913.1492,2.45248
252716963.1492,2.198155
252717013.1492,2.131176
252717063.1492,2.514301
252717113.1492,2.83645
252717163.1492,2.262649
252717213.1492,2.421948
252717263.1492,2.865136
252717313.1492,2.644706
252717363.1492,2.263933
252717413.1492,2.417956
252717463.1492,2.581752
252717513.1492,2.388758
252717563.1492,2.449983
252717613.1492,2.484135
252717663.1492,2.291874
252717713.1492,2.452459
252717763.1492,2.45014
252717813.1492,2.799804
252717863.1492,2.227962
252717913.1492,3.025653
252717963.1492,2.643742
252718013.1492,2.259625
252718063.1492,2.423135
252718113.1492,2.643339
252718163.1492,2.416039
252718213.1492,2.769079
252718263.1492,2.356454
252718313.1492,2.487701
252718363.1492,2.678489
252718413.1492,2.450277
252718463.1492,2.73471
252718513.1492,2.291808
252718563.1492,2.705707
252718613.1492,2.548907
252718663.1492,2.481129
252718713.1492,2.421136
252718763.1492,2.035612
252718813.1492,2.294329
252718863.1492,2.488477
252718913.1492,2.320408
252718963.1492,2.196593
252719013.1492,2.44991
252719063.1492,2.068313
252719113.1492,3.026816
252719163.1492,2.22797
252719213.1492,2.411885
252719263.1492,2.261732
252719313.1492,2.322056
252719363.1492,2.612702
252719413.1492,2.005497
252719463.1492,2.354624
252719513.1492,2.807232
252719563.1492,2.706436
252719613.1492,2.260119
252719663.1492,2.549332
252719713.1492,2.739174
252719763.1492,2.420257
252719813.1492,2.295299
252719863.1492,2.132081
252719913.1492,2.035517
252719963.1492,1.975777
252720013.1492,2.736494
252720063.1492,2.199204
252720113.1492,2.168016
252720163.1492,2.486576
252720213.1492,1.459598
252720263.1492,2.25984
252720313.1492,2.711021
252720363.1492,2.229755
252720413.1492,2.705249
252720463.1492,2.099592
252720513.1492,2.609879
252720563.1492,2.070627
252720613.1492,1.941572
252720663.1492,2.353706
252720713.1492,2.61427
252720763.1492,2.355716
252720813.1492,2.926131
252720863.1492,2.423404
252720913.1492,2.42117
252720963.1492,2.869632
