f,per
1.00E-05,2193.620549
1.24E-05,1124.917014
2.00E-05,2047.802888
2.48E-05,3609.576278
3.00E-05,2419.616363
3.72E-05,38.77029832
4.00E-05,718.5914888
4.95E-05,452.0239414
5.00E-05,743.1784932
6.00E-05,40.20566717
6.19E-05,98.8336085
7.00E-05,16.41891522
7.43E-05,5.629276053
8.00E-05,8.861826233
8.67E-05,109.8795555
9.00E-05,53.23510901
9.91E-05,41.75747781
0.0001,0.834491975
0.00011,54.04393238
0.000111455,26.75717206
0.00012,41.90045807
0.000123839,9.658800711
0.00013,20.37254048
0.000136223,2.24149141
0.00014,36.56018978
0.000148607,19.26248274
0.00015,12.53396639
0.00016,5.574041236
0.000160991,5.774385765
0.00017,27.19046225
0.000173375,57.7409902
0.00018,25.9193468
0.000185759,11.42328257
0.00019,22.86967763
0.000198142,12.97050484
0.0002,8.244524053
0.00021,3.377689427
0.000210526,15.80234415
0.00022,13.78959333
0.00022291,1.889845915
0.00023,4.629815252
0.000235294,20.9973446
0.00024,7.190711303
0.000247678,0.202658039
0.00025,33.19584781
0.00026,4.930654811
0.000260062,16.87395225
0.00027,7.75980701
0.000272446,0.161127826
0.00028,4.792730882
0.00028483,13.62058149
0.00029,4.393560658
0.000297214,3.491239449
0.0003,17.78796842
0.000309598,2.099560081
0.00031,18.12250073
0.00032,13.52822815
0.000321981,3.625580559
0.00033,3.477176397
0.000334365,0.246769382
0.00034,0.668468134
0.000346749,2.201690889
0.00035,8.576584222
0.000359133,7.816491143
0.00036,5.516426507
0.00037,7.806786527
0.000371517,3.884403398
0.00038,10.90078399
0.000383901,7.066434608
0.00039,3.198982343
0.000396285,0.0670251
0.0004,7.362857761
0.000408669,3.275045295
0.00041,0.371037479
0.00042,2.12389326
0.000421053,1.968331855
0.00043,2.42842338
0.000433437,2.743187063
0.00044,1.410335832
0.00044582,2.724660193
0.00045,0.322355289
0.000458204,0.748378174
0.00046,4.382413904
0.00047,1.653593149
0.000470588,1.697991247
0.00048,0.874144003
0.000482972,1.255275294
0.00049,2.35499147
0.000495356,5.031251111
0.0005,0.224504225
0.00050774,3.282254259
0.00051,3.406100383
0.00052,2.361700665
0.000520124,0.323038417
0.00053,0.303831913
0.000532508,1.570321071
0.00054,3.150518382
0.000544892,1.413925135
0.00055,1.863954104
0.000557276,0.899855873
0.00056,0.846608527
