TIME,RATE
295498157.4419,0.2686545
295498207.4419,0.3613443
295498257.4419,0.5603845
295498307.4419,0.6249321
295498357.4419,0.4006737
295498407.4419,0.7966169
295498457.4419,0.8635771
295498507.4419,0.8661568
295498557.4419,0.467378
295498607.4419,0.932965
295498657.4419,0.4001492
295498707.4419,0.4663323
295498757.4419,0.3339386
295498807.4419,0.9938383
295498857.4419,0.7971904
295498907.4419,0.3333983
295498957.4419,0.2659045
295499007.4419,0.5330822
295499057.4419,0.5321163
295499107.4419,0.4658823
295499157.4419,0.5983464
295499207.4419,0.06653918
295499257.4419,0.3984549
295499307.4419,0.1998456
295499357.4419,0.2937173
295499407.4419,0.4660836
295499457.4419,0.5986822
295499507.4419,0.3606271
295499557.4419,0.2278445
295499607.4419,0.5338523
295499657.4419,0.5984057
295499707.4419,0.5628247
295499757.4419,0.4004697
295499807.4419,0.3323193
295499857.4419,0.6675276
295499907.4419,0.5981153
295499957.4419,0.3339186
295500007.4419,0.2937004
295500057.4419,0.8012492
295500107.4419,0.4656952
295500157.4419,0.3321686
295500207.4419,0.4933947
295500257.4419,0.8660383
295500307.4419,0.5318647
295500357.4419,0.5308965
295500407.4419,0.4662624
295500457.4419,0.5332047
295500507.4419,0.5981656
295500557.4419,0.4002478
295500607.4419,0.7329884
295500657.4419,0.4654579
295500707.4419,0.7973959
295500757.4419,0.1995718
295500807.4419,0.654393
295500857.4419,0.2665265
295500907.4419,0.3321717
295500957.4419,0.5330963
295501007.4419,0.5324295
295501057.4419,0.3321997
295501107.4419,0.5984225
295501157.4419,0.6923516
295501207.4419,0.4274414
295501257.4419,0.06655343
295501307.4419,0.5999259
295501357.4419,0.4662904
295501407.4419,0.2655164
295501457.4419,0.3325629
295501507.4419,0.3980505
295501557.4419,0.160925
295501607.4419,0.5335634
295501657.4419,0.5322511
295501707.4419,0.2656003
295501757.4419,0.2662537
295501807.4419,0.133035
295501857.4419,0.3325088
295501907.4419,0.4650708
295501957.4419,0.4661234
295502007.4419,0.2652522
295502057.4419,0.5318035
295502107.4419,0.4269012
295502157.4419,0.3999574
295502207.4419,0.3597507
295502257.4419,0.2004451
295502307.4419,0.7327403
295502357.4419,0.2661647
295502407.4419,0.3614987
295502457.4419,0.2655936
295502507.4419,0.6647542
295502557.4419,0.3999147
295502607.4419,0.3324777
295502657.4419,0.333916
295502707.4419,0.7309315
295502757.4419,0.464884
295502807.4419,0.2660021
295502857.4419,0.2001839
295502907.4419,0.4001748
295502957.4419,0.4664569
295503007.4419,0.466511
295503057.4419,0.1328399
295503107.4419,0.1993849
295503157.4419,0.3330446
295503207.4419,0.7329887
295503257.4419,0.1329132
295503307.4419,0.3331623
295503357.4419,0.3988277
295503407.4419,0.3318807
295503457.4419,0.3988695
295503507.4419,0.2669065
295503557.4419,0.4930515
295503607.4419,0.2654937
295503657.4419,0.626411
295503707.4419,0.06651612
295503757.4419,0.332732
295503807.4419,0.3316911
295503857.4419,0.2660161
295503907.4419,0.3984686
295503957.4419,0.3990985
295504007.4419,0.2665223
295504057.4419,0.3991226
295504107.4419,0.2668325
295504157.4419,0.4653671
295504207.4419,0.06646187
295504257.4419,0.1993271
295504307.4419,0.4652035
295504357.4419,0.4673174
295504407.4419,0.2661613
295504457.4419,0.3331211
295504507.4419,0.2266582
295504557.4419,0.3325467
295504607.4419,0.5986484
295504657.4419,0.5336505
295504707.4419,0.3327836
295504757.4419,0.2658778
295504807.4419,0.6672732
295504857.4419,0.7354183
295504907.4419,0.6660682
295504957.4419,0.3327428
295505007.4419,0.4943987
295505057.4419,0.5992163
295505107.4419,0.7620606
295505157.4419,0.2665223
295505207.4419,0.4260757
295505257.4419,0.3338795
295505307.4419,0.6669052
295505357.4419,0.5322915
295505407.4419,0.1994021
295505457.4419,0.3320158
295505507.4419,0.4652979
295505557.4419,0.3329549
295505607.4419,0.5318136
295505657.4419,0.3983067
295505707.4419,0.3324148
295505757.4419,0
295505807.4419,0.7297183
295505857.4419,0.3330439
295505907.4419,0.2000459
295505957.4419,0.3986399
295506007.4419,0.3326205
295506057.4419,0.5318227
295506107.4419,0.3325103
295506157.4419,0.732141
295506207.4419,0.5982244
295506257.4419,0.3996818
295506307.4419,0.4648982
295506357.4419,0.2279781
295506407.4419,0.4655385
295506457.4419,0.3999101
295506507.4419,0.531767
295506557.4419,0.3996685
295506607.4419,0.228047
295506657.4419,0.4654873
295506707.4419,0.2555876
295506757.4419,0.3609689
295506807.4419,0.2949079
295506857.4419,0.5309519
295506907.4419,0.3994752
295506957.4419,0.5318838
295507007.4419,0.8258578
295507057.4419,0.5972774
295507107.4419,0.9981358
295507157.4419,0.6924363
295507207.4419,0.7329186
295507257.4419,0.4653444
295507307.4419,0.6650617
295507357.4419,0.8629495
295507407.4419,0.7307432
295507457.4419,0.9609935
295507507.4419,1.004057
295507557.4419,0.8001528
295507607.4419,0.9314079
295507657.4419,1.129342
295507707.4419,1.463477
295507757.4419,0.7984186
295507807.4419,1.130241
295507857.4419,1.397368
295507907.4419,1.269532
295507957.4419,0.9302319
295508007.4419,1.15876
295508057.4419,1.264961
295508107.4419,0.9295061
295508157.4419,1.464208
295508207.4419,0.7295584
295508257.4419,1.160262
295508307.4419,1.359611
295508357.4419,1.325626
295508407.4419,1.132892
295508457.4419,1.195864
295508507.4419,0.7971554
295508557.4419,0.865841
295508607.4419,1.094025
295508657.4419,0.7963671
295508707.4419,1.26142
295508757.4419,0.8634155
295508807.4419,0.9309831
295508857.4419,1.064411
295508907.4419,1.755401
295508957.4419,1.463549
295509007.4419,1.197213
295509057.4419,1.46639
295509107.4419,1.262666
295509157.4419,0.9309741
295509207.4419,1.864169
295509257.4419,2.488379
295509307.4419,1.929151
295509357.4419,1.999285
295509407.4419,2.5954
295509457.4419,2.199995
295509507.4419,2.457791
295509557.4419,2.289227
295509607.4419,2.535203
