x,xerr,y,yerr,
0.327520013,0.018354997,0.000870326709,1.13893529E-05,0.000824459654
0.364140987,0.0182660073,0.00176846934,2.21246464E-05,0.00180496951
0.400579512,0.0181725025,0.00251182052,3.05505055E-05,0.002749932
0.436829984,0.0180779845,0.0030745836,3.62064857E-05,0.00343976659
0.472890496,0.0179824978,0.00354454736,4.2062642E-05,0.00411139242
0.508759975,0.0178869963,0.004137062,5.02808798E-05,0.00452437392
0.544440985,0.017794013,0.00309332856,3.99290875E-05,0.00302341301
0.579937518,0.0177025199,0.00282310066,3.79645608E-05,0.00243688142
0.615254998,0.0176149905,0.00308080367,4.22687299E-05,0.00257593184
0.650401473,0.0175314844,0.00319711398,4.43247445E-05,0.00264802086
0.685386002,0.0174530149,0.00309432647,4.4864013E-05,0.00266397325
0.720218539,0.0173794925,0.002982985,4.47446E-05,0.00252545555
0.754909515,0.0173115134,0.00293928548,4.4885106E-05,0.00233593001
0.789470494,0.017249465,0.00288986578,4.6152647E-05,0.00228122249
0.823914528,0.0171945393,0.00295235845,4.8226666E-05,0.00221110648
0.858253539,0.0171445012,0.00283163041,4.86053177E-05,0.00209451676
0.89249897,0.01710096,0.00251951045,4.62016287E-05,0.00188995677
0.943697453,0.0340975225,0.00212016283,3.15548205E-05,0.00177895825
1.01664257,0.038847506,0.00155150017,2.68346994E-05,0.00161446049
1.11365998,0.058169961,0.00101806503,1.91085455E-05,0.00140489312
1.26892495,0.0970950127,0.000758057693,1.4272794E-05,0.00111651234
1.52270997,0.156690001,0.000645831751,1.25270244E-05,0.000773430278
2.14723015,0.467830062,0.000487719954,9.71958798E-06,0.000392182847
3.1900301,0.574970007,0.000437838258,1.59943247E-05,0.000142491961
4.51499987,0.749999881,0.00045331518,2.14995544E-05,5.84276786E-05
6.19750023,0.932500124,0.000480171118,3.20211257E-05,2.56277999E-05
8.13500023,1.00500011,-8.6540269E-05,7.86390374E-05,1.24332601E-05
9.55249977,0.412499905,0.000636407291,0.00023928954,7.8884168E-06
