TIME,RATE
472752098.5511,1.910668
472752148.5511,-1.496602
472752198.5511,-1.234201
472752248.5511,-1.656507
472752298.5511,1.550179
472752348.5511,1.073386
472752398.5511,-1.581415
472752448.5511,-1.204012
472752498.5511,1.665997
472752548.5511,1.693436
472752598.5511,0.8209893
472752648.5511,-1.677014
472752698.5511,-10.24788
472752748.5511,1.342218
472752798.5511,-4.79764
472752848.5511,1.36076
472752898.5511,1.501173
472752948.5511,-5.24465
472752998.5511,1.587106
472753048.5511,-1.297035
472753098.5511,-1.981473
472753148.5511,1.356239
472753198.5511,-2.012942
472753248.5511,-1.334883
472753298.5511,1.397876
472753348.5511,1.140056
472753398.5511,-2.211474
472753448.5511,1.893268
472753498.5511,0.8155119
472753548.5511,-4.68198
472753598.5511,1.413396
472753648.5511,-1.89882
472753698.5511,-1.976528
472753748.5511,1.133565
472753798.5511,1.50439
472753848.5511,1.073617
472753898.5511,1.363602
472753948.5511,1.180247
472753998.5511,-1.739166
472754048.5511,1.460612
472754098.5511,1.024676
472754148.5511,1.335308
472754198.5511,-1.482269
472754248.5511,0.9759526
472754298.5511,1.080144
472754348.5511,1.128734
472754398.5511,1.075532
472754448.5511,-4.677277
472754498.5511,1.237342
472754548.5511,1.347076
472754598.5511,1.410449
472754648.5511,-1.239032
472754698.5511,-1.186942
472754748.5511,1.793717
472754798.5511,1.979053
472754848.5511,-1.068318
472754898.5511,1.233402
472754948.5511,-0.6466019
472754998.5511,1.996726
472755048.5511,1.928099
472755098.5511,-1.131242
472755148.5511,2.016094
472755198.5511,2.147249
472755248.5511,1.609527
472755298.5511,2.539409
472755348.5511,1.731928
472755398.5511,-1.201362
472755448.5511,-1.138586
472755498.5511,1.564313
472755548.5511,1.725533
472755598.5511,1.550118
472755648.5511,1.12995
472755698.5511,1.770896
472755748.5511,-2.030923
472755798.5511,-1.369368
472755848.5511,1.418275
472755898.5511,1.524301
472755948.5511,1.674758
472755998.5511,-7.658309
472756048.5511,1.826537
472756098.5511,1.564382
472756148.5511,1.742106
472756198.5511,-1.283355
472756248.5511,1.996444
472756298.5511,1.903579
472756348.5511,-1.565093
472756398.5511,0.9651899
472756448.5511,1.528254
472756498.5511,1.657673
472756548.5511,2.062757
472756598.5511,1.919381
472756648.5511,-1.761562
