TIME,RATE
472752098.5511,0.694541
472752148.5511,0.6314753
472752198.5511,0.4272493
472752248.5511,0.5302593
472752298.5511,1.029472
472752348.5511,0.5252469
472752398.5511,-2.230382
472752448.5511,0.6401494
472752498.5511,0.8941262
472752548.5511,0.9088525
472752598.5511,0.6427836
472752648.5511,0.5887393
472752698.5511,0.4236742
472752748.5511,-2.304876
472752798.5511,1.165178
472752848.5511,0.9588512
472752898.5511,1.049397
472752948.5511,0.6977412
472752998.5511,0.8034088
472753048.5511,0.6820573
472753098.5511,0.7958605
472753148.5511,0.9025735
472753198.5511,0.7382535
472753248.5511,0.5900903
472753298.5511,0.6840314
472753348.5511,0.3187833
472753398.5511,0.5384737
472753448.5511,0.6352764
472753498.5511,1.27699
472753548.5511,0.6425006
472753598.5511,0.5320197
472753648.5511,0.7897622
472753698.5511,0.589353
472753748.5511,0.4226244
472753798.5511,0.7361524
472753848.5511,0.7355039
472753898.5511,0.5871885
472753948.5511,0.6300411
472753998.5511,0.4246058
472754048.5511,-2.332067
472754098.5511,1.002822
472754148.5511,0.8712192
472754198.5511,0.5834479
472754248.5511,0.8490114
472754298.5511,0.845686
472754348.5511,0.7890434
472754398.5511,0.6315558
472754448.5511,0.7977588
472754498.5511,0.4212008
472754548.5511,0.9492089
472754598.5511,1.168003
472754648.5511,0.8995917
472754698.5511,0.5335534
472754748.5511,0.5851537
472754798.5511,0.9945959
472754848.5511,0.4304598
472754898.5511,0.3673771
472754948.5511,0.7907425
472754998.5511,0.528146
472755048.5511,0.8910725
472755098.5511,-2.344139
472755148.5511,0.5865961
472755198.5511,0.6829723
472755248.5511,0.7604411
472755298.5511,1.057553
472755348.5511,0.4767158
472755398.5511,0.4200623
472755448.5511,0.7360168
472755498.5511,0.6862878
472755548.5511,0.4749557
472755598.5511,0.6277481
472755648.5511,1.000532
472755698.5511,0.6827468
472755748.5511,0.7925918
472755798.5511,1.061566
472755848.5511,0.8541701
472755898.5511,0.6926174
472755948.5511,0.6873391
472755998.5511,0.6828225
472756048.5511,0.6309111
472756098.5511,1.055874
472756148.5511,1.065594
472756198.5511,-2.37478
472756248.5511,0.6864931
472756298.5511,0.5322801
472756348.5511,0.7902865
472756398.5511,-1.824409
472756448.5511,0.6409969
472756498.5511,0.6803274
472756548.5511,0.8500056
472756598.5511,1.073398
472756648.5511,-2.412349
472756698.5511,0.4750071
472756748.5511,0.477262
472756798.5511,0.8557415
472756848.5511,0.4232213
472756898.5511,0.7371292
472756948.5511,0.632774
472756998.5511,0.7903831
472757048.5511,0.4230839
472757098.5511,-2.155186
472757148.5511,0.6358334
472757198.5511,0.8489032
472757248.5511,0.4191637
472757298.5511,-11.01395
472757348.5511,0.6825823
472757398.5511,0.6839285
472757448.5511,0.7872045
472757498.5511,-2.282766
472757548.5511,0.5318939
472757598.5511,1.228511
472757648.5511,0.7938111
472757698.5511,-2.334565
472757748.5511,0.634741
472757798.5511,1.004591
472757848.5511,0.3665905
472757898.5511,1.052944
472757948.5511,1.015364
472757998.5511,0.4212151
472758048.5511,0.6853133
472758098.5511,0.5281152
472758148.5511,0.9554613
472758198.5511,0.9452192
472758248.5511,0.8418183
472758298.5511,0.5329866
472758348.5511,0.7859879
472758398.5511,0.6924201
472758448.5511,0.6911162
472758498.5511,0.6839488
472758548.5511,0.7871527
472758598.5511,0.6819891
472758648.5511,1.007317
472758698.5511,0.9031018
472758748.5511,0.8967492
472758798.5511,0.7991297
472758848.5511,0.7346978
472758898.5511,0.471704
472758948.5511,0.4201121
472758998.5511,-2.464236
472759048.5511,0.9492401
472759098.5511,0.6929914
472759148.5511,0.7343112
472759198.5511,0.7918705
472759248.5511,0.8397283
472759298.5511,0.9095286
472759348.5511,0.6432894
472759398.5511,0.7451141
472759448.5511,0.7877907
472759498.5511,0.8408867
472759548.5511,0.8567172
472759598.5511,0.8552134
472759648.5511,0.5792157
472759698.5511,0.8065025
472759748.5511,0.7354921
472759798.5511,0.8485194
472759848.5511,0.5769454
472759898.5511,0.7448758
472759948.5511,0.7411841
472759998.5511,0.5257635
472760048.5511,0.6800761
472760098.5511,0.584953
472760148.5511,1.110869
472760198.5511,0.7479583
472760248.5511,1.013854
472760298.5511,0.7423092
472760348.5511,0.7865991
472760398.5511,0.4228698
472760448.5511,0.997196
472760498.5511,-2.122567
472760548.5511,0.8463745
472760598.5511,0.9537954
472760648.5511,-2.222663
472760698.5511,0.7550853
472760748.5511,0.9054288
472760798.5511,0.9071455
472760848.5511,0.598883
472760898.5511,0.9017522
472760948.5511,0.5796068
472760998.5511,0.5782387
472761048.5511,0.7351871
472761098.5511,0.8397919
472761148.5511,-2.435001
472761198.5511,0.8943856
472761248.5511,1.052127
472761298.5511,0.6332974
472761348.5511,0.6891776
472761398.5511,0.5759968
472761448.5511,0.800885
472761498.5511,-2.064561
472761548.5511,-1.992489
472761598.5511,0.9971545
472761648.5511,0.841082
472761698.5511,-2.012071
472761748.5511,0.8444027
472761798.5511,0.5800337
472761848.5511,0.9499063
472761898.5511,-2.225904
472761948.5511,0.9956173
472761998.5511,0.9060146
472762048.5511,0.6827117
472762098.5511,-2.491117
472762148.5511,0.5751929
472762198.5511,1.005127
472762248.5511,0.630005
472762298.5511,0.7410305
472762348.5511,0.7408453
472762398.5511,0.6297612
472762448.5511,0.899722
472762498.5511,0.5783335
472762548.5511,0.6868258
472762598.5511,0.6270912
472762648.5511,0.9533001
472762698.5511,-2.396848
472762748.5511,0.8003016
472762798.5511,0.3170347
472762848.5511,0.6857553
472762898.5511,0.5254046
472762948.5511,0.9539346
472762998.5511,0.4770254
472763048.5511,0.9443428
472763098.5511,0.8955716
472763148.5511,0.839914
472763198.5511,1.156504
472763248.5511,0.6404877
472763298.5511,0.6367334
472763348.5511,0.902456
472763398.5511,0.9529462
472763448.5511,0.9086316
472763498.5511,0.9465441
472763548.5511,0.839817
472763598.5511,0.5859819
472763648.5511,0.6287898
472763698.5511,0.6888883
472763748.5511,0.6823375
472763798.5511,0.6881642
472763848.5511,1.048898
472763898.5511,-2.214369
472763948.5511,1.259076
472763998.5511,1.000927
472764048.5511,0.9070572
472764098.5511,0.6370184
472764148.5511,0.9995636
472764198.5511,0.9601359
472764248.5511,-2.173217
472764298.5511,0.7413119
472764348.5511,-2.13418
472764398.5511,0.8398196
472764448.5511,0.6837062
472764498.5511,1.003672
472764548.5511,0.8462321
472764598.5511,0.631036
472764648.5511,0.9135708
472764698.5511,1.112131
472764748.5511,0.7882093
472764798.5511,0.3146648
472764848.5511,0.6334742
472764898.5511,1.047391
472764948.5511,0.6318625
472764998.5511,-2.067466
472765048.5511,1.225792
472765098.5511,-2.127608
472765148.5511,0.4749449
472765198.5511,0.6863666
472765248.5511,-2.187353
472765298.5511,-2.353555
472765348.5511,0.6307633
472765398.5511,1.057417
472765448.5511,1.212304
472765498.5511,0.5812625
472765548.5511,0.6797732
472765598.5511,0.9061719
472765648.5511,0.6975842
472765698.5511,0.8433275
472765748.5511,-1.749537
472765798.5511,0.4716153
472765848.5511,0.8389691
472765898.5511,1.001121
472765948.5511,0.8975096
472765998.5511,0.6944357
472766048.5511,1.052271
472766098.5511,0.7868945
472766148.5511,0.5893027
472766198.5511,0.5876639
472766248.5511,0.6323632
472766298.5511,0.8391234
472766348.5511,1.06529
472766398.5511,0.631005
472766448.5511,0.4774066
472766498.5511,0.581419
472766548.5511,0.9064664
472766598.5511,0.8446615
472766648.5511,0.5312822
472766698.5511,0.8401549
472766748.5511,0.630813
472766798.5511,-2.679042
472766848.5511,0.636437
472766898.5511,1.15538
472766948.5511,0.8904418
472766998.5511,1.010612
472767048.5511,0.6417415
472767098.5511,0.847239
472767148.5511,0.4209144
472767198.5511,0.5813814
472767248.5511,0.6869566
472767298.5511,0.5297797
472767348.5511,-2.358268
472767398.5511,0.5904024
472767448.5511,1.110476
472767498.5511,-1.735317
472767548.5511,0.5298916
472767598.5511,0.8515105
472767648.5511,0.8472815
472767698.5511,0.6894919
472767748.5511,0.8534077
472767798.5511,0.4235324
472767848.5511,0.7893441
472767898.5511,0.6917989
472767948.5511,0.7995676
472767998.5511,-2.499883
472768048.5511,0.841195
472768098.5511,0.8422013
472768148.5511,0.6933644
472768198.5511,0.630899
472768248.5511,0.8648161
472768298.5511,0.8038116
472768348.5511,0.7331476
472768398.5511,0.5785429
472768448.5511,-5.389166
472768498.5511,0.4780171
472768548.5511,1.162261
472768598.5511,0.7865658
472768648.5511,0.9588552
472768698.5511,0.7484929
472768748.5511,0.7362131
472768798.5511,0.6388664
472768848.5511,0.6334881
472768898.5511,0.3677481
472768948.5511,0.785862
472768998.5511,0.9489284
472769048.5511,0.6309115
472769098.5511,0.5787712
472769148.5511,-2.182769
472769198.5511,0.582826
472769248.5511,-2.25213
472769298.5511,-1.796911
472769348.5511,0.7366738
472769398.5511,-1.936906
472769448.5511,0.8938375
472769498.5511,1.139335
472769548.5511,0.735104
472769598.5511,0.7864161
472769648.5511,-1.99949
472769698.5511,0.4291829
472769748.5511,0.7353769
472769798.5511,-5.123185
472769848.5511,0.5854009
472769898.5511,0.9450157
472769948.5511,0.5770907
472769998.5511,0.5425714
472770048.5511,1.057312
472770098.5511,0.6354574
472770148.5511,0.5852102
472770198.5511,0.3142371
472770248.5511,0.7353233
472770298.5511,0.8915474
472770348.5511,1.124962
472770398.5511,0.8468964
472770448.5511,0.581685
472770498.5511,0.5754694
472770548.5511,0.7991911
472770598.5511,0.685967
472770648.5511,0.7476742
472770698.5511,0.5801159
472770748.5511,1.014538
472770798.5511,0.6493186
472770848.5511,1.056237
472770898.5511,0.8934523
472770948.5511,0.951783
472770998.5511,0.7411029
472771048.5511,0.7473664
472771098.5511,0.741977
472771148.5511,0.960884
472771198.5511,0.5805783
472771248.5511,0.9515942
472771298.5511,0.7876672
472771348.5511,0.909782
472771398.5511,0.6939701
472771448.5511,1.111214
472771498.5511,0.7328284
472771548.5511,0.7355152
472771598.5511,0.9062518
472771648.5511,-1.722259
472771698.5511,0.7994638
472771748.5511,1.05941
472771798.5511,0.8996286
472771848.5511,0.6347474
472771898.5511,0.8402541
472771948.5511,0.8928553
472771998.5511,1.037925
472772048.5511,0.8982239
472772098.5511,0.5294392
472772148.5511,0.9051852
472772198.5511,0.9008979
472772248.5511,0.7978609
472772298.5511,0.7345068
472772348.5511,0.5871576
472772398.5511,-1.981619
472772448.5511,0.7990739
472772498.5511,-1.969008
472772548.5511,1.000904
472772598.5511,1.134728
472772648.5511,1.105286
472772698.5511,0.8923949
472772748.5511,0.4220785
472772798.5511,1.054696
472772848.5511,0.6871721
472772898.5511,0.9536093
472772948.5511,0.7936687
472772998.5511,0.7545827
472773048.5511,1.21717
472773098.5511,0.7908418
472773148.5511,0.6823171
472773198.5511,0.8540002
472773248.5511,-5.445821
472773298.5511,0.7950925
472773348.5511,0.7417672
472773398.5511,0.695635
472773448.5511,0.5013067
472773498.5511,0.5366032
472773548.5511,-2.208557
472773598.5511,-1.967712
472773648.5511,1.172503
472773698.5511,0.7879139
472773748.5511,-5.214635
472773798.5511,NULL
472773848.5511,2.616905
472773898.5511,0.5818894
472773948.5511,-2.194337
472773998.5511,-2.335092
472774048.5511,0.6032777
472774098.5511,NULL
472774148.5511,NULL
472774198.5511,NULL
472774248.5511,NULL
472774298.5511,NULL
472774348.5511,NULL
472774398.5511,NULL
472774448.5511,NULL
472774498.5511,NULL
472774548.5511,0
472774598.5511,0.7920274
472774648.5511,0.474928
472774698.5511,0.9534982
472774748.5511,0.3734412
472774798.5511,-2.310426
472774848.5511,0.6440378
472774898.5511,NULL
472774948.5511,0
472774998.5511,0.3167016
472775048.5511,0.5788942
472775098.5511,0.6813449
472775148.5511,1.105144
472775198.5511,0.6444881
472775248.5511,0.5837077
472775298.5511,0.7323271
472775348.5511,0.8398449
472775398.5511,0.7885026
472775448.5511,0.6398038
472775498.5511,0.6411244
472775548.5511,0.5260724
472775598.5511,0.6290968
472775648.5511,0.5779763
472775698.5511,0.8925399
472775748.5511,0.6827888
472775798.5511,1.048264
472775848.5511,0.5804633
472775898.5511,0.6855945
472775948.5511,0.7911208
472775998.5511,1.219941
472776048.5511,0.7386884
472776098.5511,0.6334333
472776148.5511,-2.228295
472776198.5511,0.8006982
472776248.5511,0.7874897
472776298.5511,0.6883191
472776348.5511,0.7395635
472776398.5511,1.102187
472776448.5511,-2.246427
472776498.5511,0.5239815
472776548.5511,-5.009306
472776598.5511,1.212462
472776648.5511,0.9540848
472776698.5511,0.7870417
472776748.5511,1.211227
472776798.5511,0.5958652
472776848.5511,0.7911114
472776898.5511,1.130128
472776948.5511,0.7370945
472776998.5511,0.6836398
472777048.5511,0.8471532
472777098.5511,0.7868052
472777148.5511,1.441826
472777198.5511,0.5246896
472777248.5511,0.5852272
472777298.5511,0.9060919
472777348.5511,1.110902
472777398.5511,0.8492995
472777448.5511,1.018412
472777498.5511,0.8442144
472777548.5511,0.9043114
472777598.5511,0.691667
472777648.5511,1.001487
472777698.5511,0.8469902
472777748.5511,0.8441686
472777798.5511,1.016041
472777848.5511,1.112068
472777898.5511,1.162071
472777948.5511,0.8919253
472777998.5511,0.7430452
472778048.5511,1.12981
472778098.5511,1.112695
472778148.5511,0.7343888
472778198.5511,0.5866594
472778248.5511,0.6828296
472778298.5511,0.9142252
472778348.5511,1.073063
472778398.5511,0.8497486
472778448.5511,0.9532545
472778498.5511,-1.810323
472778548.5511,0.6035571
472778598.5511,NULL
472778648.5511,NULL
472778698.5511,NULL
472778748.5511,NULL
472778798.5511,NULL
472778848.5511,NULL
472778898.5511,NULL
472778948.5511,NULL
472778998.5511,NULL
472779048.5511,NULL
472779098.5511,NULL
472779148.5511,NULL
472779198.5511,NULL
472779248.5511,NULL
472779298.5511,NULL
472779348.5511,NULL
472779398.5511,NULL
472779448.5511,NULL
472779498.5511,NULL
472779548.5511,NULL
472779598.5511,NULL
472779648.5511,NULL
472779698.5511,NULL
472779748.5511,NULL
472779798.5511,NULL
472779848.5511,NULL
472779898.5511,NULL
472779948.5511,NULL
472779998.5511,NULL
472780048.5511,NULL
472780098.5511,NULL
472780148.5511,NULL
472780198.5511,NULL
472780248.5511,NULL
472780298.5511,NULL
472780348.5511,NULL
472780398.5511,NULL
472780448.5511,NULL
472780498.5511,NULL
472780548.5511,NULL
472780598.5511,NULL
472780648.5511,NULL
472780698.5511,NULL
472780748.5511,NULL
472780798.5511,NULL
472780848.5511,NULL
472780898.5511,NULL
472780948.5511,NULL
472780998.5511,NULL
472781048.5511,NULL
472781098.5511,NULL
472781148.5511,NULL
472781198.5511,NULL
472781248.5511,NULL
472781298.5511,NULL
472781348.5511,NULL
472781398.5511,NULL
472781448.5511,3.931105
472781498.5511,0.9979972
472781548.5511,0.6820509
472781598.5511,0.8411407
472781648.5511,0.841206
472781698.5511,-2.089298
472781748.5511,0.7439926
472781798.5511,-2.039581
472781848.5511,0.635703
472781898.5511,0.6936775
472781948.5511,-2.173594
472781998.5511,0.6837851
472782048.5511,0.6279338
472782098.5511,0.6369753
472782148.5511,0.6305354
472782198.5511,0.9978678
472782248.5511,0.7876385
472782298.5511,0.5879122
472782348.5511,0.5785198
472782398.5511,0.5293903
472782448.5511,0.9082259
472782498.5511,1.056773
472782548.5511,0.6880303
472782598.5511,0.9620093
472782648.5511,0.528275
472782698.5511,0.6867113
472782748.5511,-2.077832
472782798.5511,0.9050669
472782848.5511,0.6832405
472782898.5511,0.6922384
472782948.5511,0.8034181
472782998.5511,0.5851676
472783048.5511,0.8017648
472783098.5511,0.5295793
472783148.5511,-2.014758
472783198.5511,0.8000771
472783248.5511,0.8550761
472783298.5511,-2.081487
472783348.5511,1.000657
472783398.5511,0.7418084
472783448.5511,0.7453142
472783498.5511,0.6347814
472783548.5511,0.7378238
472783598.5511,0.6858793
472783648.5511,0.6862442
472783698.5511,0.7984846
472783748.5511,-2.221194
472783798.5511,0.9065155
472783848.5511,0.6808115
472783898.5511,1.106376
472783948.5511,0.7461199
472783998.5511,1.067771
472784048.5511,0.7383769
472784098.5511,0.9595082
472784148.5511,1.010429
472784198.5511,0.7880189
472784248.5511,0.5776048
472784298.5511,0.6295161
472784348.5511,0.848609
472784398.5511,1.059933
472784448.5511,0.9023108
472784498.5511,0.735695
472784548.5511,1.213351
472784598.5511,0.3677358
472784648.5511,0.8436249
472784698.5511,0.8404543
472784748.5511,1.150484
472784798.5511,0.5898665
472784848.5511,0.4777716
472784898.5511,0.5843444
472784948.5511,0.5892709
472784998.5511,0.8452632
472785048.5511,0.7919123
472785098.5511,0.5771255
472785148.5511,0.6268809
472785198.5511,0.4786996
472785248.5511,0.6346205
472785298.5511,0.6312673
